Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
blue-horizon-stripe-knitted-sweater,Blue Horizon Stripe Knitted Sweater,"<p>Classic nautical elegance for chilly days! Hand-knitted from 100% pure combed organic cotton in crisp cream with fine cobalt blue horizontal stripes, raglan sleeves, and ribbed trims for a snug fit.</p><ul><li>Fabric: 100% Pure Organic Combed Cotton Knit</li><li>Style: Raglan Long Sleeve Pullover Sweater</li><li>Features: Ultra-soft zero-itch knit & shape-retaining ribbed cuffs</li><li>Care: Hand Wash / Gentle Machine Wash Cold</li></ul>",Meeeku,,Baby Sweaters,"Sweaters, Winterwear, Knitwear, Blue Stripes, Pure Cotton Knit, 0-6M, 6-12M, 1-2Y, 2-3Y, 3-4Y",TRUE,Size,0-6M,,,,,MKU-BLUE-HORIZ-0-6M,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_blue_horizon_stripe_sweater.jpg,1,Blue Horizon Stripe Knitted Sweater,FALSE,Blue Horizon Stripe Knitted Sweater – Meeeku Kids Fashion,"Shop Blue Horizon Stripe Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Unisex,Kids,MKU-BLUE-HORIZ-0-6M,new,FALSE,Sweaters,Meeeku,,,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_blue_horizon_stripe_sweater.jpg,g,,720,,,active
blue-horizon-stripe-knitted-sweater,,,,,,,,Size,6-12M,,,,,MKU-BLUE-HORIZ-6-12M,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Blue Horizon Stripe Knitted Sweater – Meeeku Kids Fashion,"Shop Blue Horizon Stripe Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Unisex,Kids,MKU-BLUE-HORIZ-6-12M,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
blue-horizon-stripe-knitted-sweater,,,,,,,,Size,1-2Y,,,,,MKU-BLUE-HORIZ-1-2Y,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Blue Horizon Stripe Knitted Sweater – Meeeku Kids Fashion,"Shop Blue Horizon Stripe Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Unisex,Kids,MKU-BLUE-HORIZ-1-2Y,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
blue-horizon-stripe-knitted-sweater,,,,,,,,Size,2-3Y,,,,,MKU-BLUE-HORIZ-2-3Y,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Blue Horizon Stripe Knitted Sweater – Meeeku Kids Fashion,"Shop Blue Horizon Stripe Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Unisex,Kids,MKU-BLUE-HORIZ-2-3Y,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
blue-horizon-stripe-knitted-sweater,,,,,,,,Size,3-4Y,,,,,MKU-BLUE-HORIZ-3-4Y,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Blue Horizon Stripe Knitted Sweater – Meeeku Kids Fashion,"Shop Blue Horizon Stripe Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Unisex,Kids,MKU-BLUE-HORIZ-3-4Y,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
nordic-fair-isle-knitted-sweater,Nordic Fair Isle Knitted Sweater,"<p>Cozy heritage winter style! Designed in rich ivory cream with intricate geometric Nordic Fair Isle jacquard patterns in teal, royal blue, and mocha brown. Accented with wooden shoulder buttons for effortless dressing.</p><ul><li>Fabric: 100% Premium Hypoallergenic Cotton Knit</li><li>Style: Nordic Jacquard Yoke Pullover</li><li>Features: Dual real wood shoulder buttons & flexible crewneck</li><li>Care: Hand Wash Gentle</li></ul>",Meeeku,,Baby Sweaters,"Sweaters, Winterwear, Knitwear, Nordic, Fair Isle, Pure Cotton Knit, 0-6M, 6-12M, 1-2Y, 2-3Y, 3-4Y",TRUE,Size,0-6M,,,,,MKU-NORDIC-FAI-0-6M,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_nordic_fair_isle_sweater.jpg,1,Nordic Fair Isle Knitted Sweater,FALSE,Nordic Fair Isle Knitted Sweater – Meeeku Kids Fashion,"Shop Nordic Fair Isle Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Unisex,Kids,MKU-NORDIC-FAI-0-6M,new,FALSE,Sweaters,Meeeku,,,,https://raw.githubusercontent.com/aaybwork-studio/meeeku/main/assets/meeeku_prod_nordic_fair_isle_sweater.jpg,g,,720,,,active
nordic-fair-isle-knitted-sweater,,,,,,,,Size,6-12M,,,,,MKU-NORDIC-FAI-6-12M,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Nordic Fair Isle Knitted Sweater – Meeeku Kids Fashion,"Shop Nordic Fair Isle Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Unisex,Kids,MKU-NORDIC-FAI-6-12M,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
nordic-fair-isle-knitted-sweater,,,,,,,,Size,1-2Y,,,,,MKU-NORDIC-FAI-1-2Y,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Nordic Fair Isle Knitted Sweater – Meeeku Kids Fashion,"Shop Nordic Fair Isle Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Unisex,Kids,MKU-NORDIC-FAI-1-2Y,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
nordic-fair-isle-knitted-sweater,,,,,,,,Size,2-3Y,,,,,MKU-NORDIC-FAI-2-3Y,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Nordic Fair Isle Knitted Sweater – Meeeku Kids Fashion,"Shop Nordic Fair Isle Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Unisex,Kids,MKU-NORDIC-FAI-2-3Y,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
nordic-fair-isle-knitted-sweater,,,,,,,,Size,3-4Y,,,,,MKU-NORDIC-FAI-3-4Y,250,shopify,50,continue,manual,1599.0,2199.0,TRUE,TRUE,,,,,FALSE,Nordic Fair Isle Knitted Sweater – Meeeku Kids Fashion,"Shop Nordic Fair Isle Knitted Sweater at Meeeku. Pure, skin-safe fabrics crafted for little ones. Fast delivery across India.",,Unisex,Kids,MKU-NORDIC-FAI-3-4Y,new,FALSE,Sweaters,Meeeku,,,,,g,,720,,,active
